machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health
L49224,L,299.3,309.1,1470,41.1,118,Medium
M16905,M,299.3,309.1,1703,31.3,120,Medium
L49226,L,299.3,309.1,1388,45.5,123,Medium
L49227,L,299.3,309.2,1775,24.2,125,Medium
L49228,L,299.3,309.2,1465,41.5,127,Medium
M16909,M,299.3,309.2,1586,37.9,129,Medium
M16910,M,299.5,309.3,1675,29.2,132,Medium
M16911,M,299.4,309.2,1470,44.4,135,Medium
L49232,L,299.5,309.3,1477,40.4,138,Medium
L49233,L,299.5,309.3,1382,61.0,140,Medium
M16914,M,299.6,309.4,1605,29.8,142,Medium
L49235,L,299.6,309.4,1643,32.9,145,Medium
L49236,L,299.5,309.3,1333,54.1,147,Medium
L49237,L,299.5,309.3,1520,42.3,149,Medium
M16918,M,299.5,309.3,1902,24.0,151,Medium
H31473,H,299.5,309.4,1386,44.4,154,Medium
L49240,L,299.6,309.5,1803,27.7,159,Medium
L49241,L,299.7,309.6,1359,50.7,161,Medium
M16922,M,299.7,309.6,1477,42.7,163,Medium
L49243,L,299.7,309.6,1321,53.4,166,Medium
L49244,L,299.6,309.5,1453,41.4,168,Medium
L49245,L,299.7,309.6,1419,45.1,170,Medium
L49246,L,299.7,309.6,1512,36.2,172,Medium
L49247,L,299.7,309.6,1553,36.8,174,Medium
M16928,M,299.7,309.6,1534,39.1,176,Medium
H31483,H,299.7,309.6,1553,41.0,179,Medium
L49250,L,299.7,309.5,1352,49.7,184,Critical
M16931,M,299.7,309.6,1313,60.0,186,Critical
L49252,L,299.6,309.5,1570,35.5,189,Critical
L49253,L,299.6,309.4,1677,31.1,191,Critical
L49254,L,299.5,309.4,1602,31.5,193,Critical
L49255,L,299.5,309.4,1390,58.8,195,Critical
L49256,L,299.4,309.3,1544,36.0,197,Critical
L49257,L,299.4,309.4,1701,31.2,199,Critical
M16938,M,299.4,309.3,1692,28.4,201,Critical
M16939,M,299.3,309.3,1523,37.9,204,Critical
L49260,L,299.3,309.2,2280,15.4,207,Critical
M16941,M,299.4,309.3,1485,47.1,209,Critical
H31496,H,299.4,309.2,1513,36.1,212,Critical
H31497,H,299.4,309.3,1743,28.2,0,Healthy
L49264,L,299.5,309.3,1442,46.2,5,Healthy
L49265,L,299.5,309.3,1462,46.7,7,Healthy
H31500,H,299.4,309.3,1439,49.7,9,Healthy
L49267,L,299.5,309.3,1577,36.6,14,Healthy
L49268,L,299.6,309.4,1331,46.4,16,Healthy
L49269,L,299.5,309.3,1941,22.5,18,Healthy
L49270,L,299.5,309.2,1393,47.3,20,Healthy
L49271,L,299.4,309.2,1433,42.1,22,Healthy
L49272,L,299.4,309.2,1444,48.2,24,Healthy
L49273,L,299.4,309.2,1564,39.0,26,Healthy
L49274,L,299.4,309.3,1377,43.6,28,Healthy
L49275,L,299.4,309.3,1525,41.5,30,Healthy
M16956,M,299.5,309.4,1387,56.2,32,Healthy
M16957,M,299.4,309.4,1326,47.5,35,Healthy
L49278,L,299.4,309.3,1401,59.0,38,Healthy
L49279,L,299.4,309.3,1596,31.8,40,Healthy
M16960,M,299.3,309.3,1471,46.0,42,Healthy
L49281,L,299.3,309.3,1528,37.8,45,Healthy
L49282,L,299.3,309.3,1325,62.0,47,Healthy
M16963,M,299.3,309.1,1376,46.7,49,Healthy
M16964,M,299.3,309.1,1600,35.3,52,Healthy
L49285,L,299.3,309.1,1495,44.0,55,Healthy
L49286,L,299.4,309.1,1645,28.6,57,Healthy
M16967,M,299.4,309.1,1417,47.3,59,Healthy
H31522,H,299.4,309.0,1415,51.7,62,Healthy
M16969,M,299.3,309.0,1496,43.4,67,Healthy
H31524,H,299.3,309.0,1508,35.0,70,Healthy
L49291,L,299.4,309.0,1436,47.9,75,Healthy
L49292,L,299.5,309.1,1852,22.6,77,Healthy
L49293,L,299.5,309.1,1863,22.5,79,Healthy
H31528,H,299.4,309.1,1373,44.1,81,Medium
L49295,L,299.4,309.0,1404,47.3,86,Medium
M16976,M,299.4,309.0,1381,44.9,88,Medium
H31531,H,299.4,308.9,1762,29.3,91,Medium
H31532,H,299.3,308.9,1429,43.0,96,Medium
M16979,M,299.3,308.9,1858,24.7,101,Medium
H31534,H,299.2,308.8,1908,21.3,104,Medium
M16981,M,299.2,308.8,1503,37.4,109,Medium
M16982,M,299.2,308.8,1523,38.9,112,Medium
L49303,L,299.3,309.0,1491,38.4,115,Medium
L49304,L,299.2,308.9,1430,39.1,117,Medium
L49305,L,299.3,308.9,1258,69.4,119,Critical
L49306,L,299.3,309.0,1449,46.5,121,Medium
H31541,H,299.3,309.0,1425,40.6,123,Medium
L49308,L,299.4,309.0,1800,24.3,128,Medium
H31543,H,299.4,309.0,1607,33.7,130,Medium
L49310,L,299.4,309.0,1391,58.2,135,Medium
L49311,L,299.4,309.1,1432,45.4,137,Medium
L49312,L,299.4,309.0,1660,28.4,139,Medium
H31547,H,299.3,309.0,1732,29.7,141,Medium
L49314,L,299.3,309.0,1473,46.3,146,Medium
L49315,L,299.3,309.0,1511,47.8,148,Medium
L49316,L,299.2,308.9,1588,41.5,150,Medium
L49317,L,299.3,308.9,1623,31.1,152,Medium
L49318,L,299.3,309.0,1734,30.6,154,Medium
L49319,L,299.3,309.0,1415,47.6,156,Medium
L49320,L,299.3,309.0,1419,46.6,158,Medium
M17001,M,299.3,308.9,1577,34.9,160,Medium
L49322,L,299.3,308.9,1376,60.3,163,Medium
M17003,M,299.3,308.8,1442,49.0,165,Medium
L49324,L,299.4,308.9,1451,40.5,168,Medium
L49325,L,299.3,308.8,1550,45.8,170,Medium
L49326,L,299.3,308.8,1647,32.9,172,Medium
L49327,L,299.4,308.9,1550,33.7,174,Medium
L49328,L,299.4,308.9,1583,34.1,176,Medium
L49329,L,299.4,309.0,1613,32.2,178,Medium
H31564,H,299.3,308.8,1636,35.5,180,Critical
M17011,M,299.3,308.7,1289,51.5,185,Critical
M17012,M,299.3,308.8,1648,28.4,188,Critical
H31567,H,299.3,308.8,1397,45.4,191,Critical
M17014,M,299.3,308.9,1767,24.8,196,Critical
L49335,L,299.3,308.8,1341,47.7,199,Critical
M17016,M,299.4,308.9,1457,41.5,201,Critical
M17017,M,299.4,309.0,1939,19.8,204,Critical
M17018,M,299.5,309.0,1399,49.7,207,Critical
M17019,M,299.5,309.0,1602,31.3,210,Critical
L49340,L,299.4,309.0,1507,41.0,213,Critical
L49341,L,299.4,309.1,1464,40.5,215,Critical
L49342,L,299.5,309.1,1336,42.1,217,Critical
L49343,L,299.6,309.2,1422,39.8,219,Critical
L49344,L,299.6,309.2,1540,36.7,221,Critical
L49345,L,299.5,309.1,1476,47.8,223,Critical
M17026,M,299.6,309.2,1867,23.4,225,Critical
H31581,H,299.6,309.1,1588,41.3,0,Healthy
M17028,M,299.5,309.1,1420,49.5,5,Healthy
L49349,L,299.5,309.1,1415,49.2,8,Healthy
M17030,M,299.4,309.1,1500,43.3,10,Healthy
L49351,L,299.5,309.1,1502,44.6,13,Healthy
L49352,L,299.5,309.2,1816,23.0,15,Healthy
M17033,M,299.5,309.2,1495,41.6,17,Healthy
L49354,L,299.6,309.2,1572,33.4,20,Healthy
M17035,M,299.5,309.2,1590,35.9,22,Healthy
M17036,M,299.6,309.3,1387,48.3,25,Healthy
M17037,M,299.6,309.2,1393,47.7,28,Healthy
L49358,L,299.6,309.2,1602,37.3,31,Healthy
L49359,L,299.6,309.2,1601,33.3,33,Healthy
H31594,H,299.6,309.2,1597,36.3,35,Healthy
H31595,H,299.5,309.1,1548,44.3,40,Healthy
M17042,M,299.5,309.2,1314,61.8,45,Healthy
M17043,M,299.6,309.3,1577,39.8,48,Healthy
L49364,L,299.8,309.4,1475,43.4,51,Healthy
L49365,L,299.8,309.4,1630,32.4,53,Healthy
L49366,L,299.7,309.4,1445,42.9,55,Healthy
M17047,M,299.8,309.4,1439,47.4,57,Healthy
L49368,L,299.7,309.3,1420,44.1,60,Healthy
H31603,H,299.7,309.2,1554,41.6,62,Healthy
M17050,M,299.6,309.1,1471,44.3,67,Healthy
L49371,L,299.6,309.0,1648,33.6,70,Healthy
L49372,L,299.6,309.0,1472,48.8,72,Healthy
M17053,M,299.5,308.9,1448,42.9,74,Healthy
M17054,M,299.6,308.9,1568,35.3,77,Healthy
L49375,L,299.6,308.9,1613,30.8,80,Medium
M17056,M,299.7,308.9,1551,35.4,82,Medium
L49377,L,299.7,309.0,1412,49.2,85,Medium
M17058,M,299.7,308.9,1478,41.0,87,Medium
M17059,M,299.8,309.1,1268,58.0,90,Medium
L49380,L,299.8,309.1,1546,35.6,93,Medium
L49381,L,299.8,309.0,1567,36.1,95,Medium
M17062,M,299.9,309.2,1548,35.7,97,Medium
L49383,L,299.8,309.0,1614,30.8,100,Medium
M17064,M,299.7,309.1,1352,46.1,102,Medium
L49385,L,299.9,309.2,1624,34.6,105,Medium
L49386,L,299.9,309.2,1436,52.0,107,Medium
L49387,L,299.8,309.2,1591,37.5,109,Medium
H31622,H,299.8,309.2,1435,42.6,111,Medium
L49389,L,299.8,309.3,1386,49.4,116,Medium
L49390,L,299.7,309.2,1401,54.1,118,Medium
M17071,M,299.6,309.0,1245,64.0,120,Medium
L49392,L,299.7,309.1,1475,40.0,123,Medium
L49393,L,299.7,309.1,1473,39.4,125,Medium
H31628,H,299.7,309.2,1355,44.8,127,Medium
H31629,H,299.7,309.2,1468,49.6,132,Medium
L49396,L,299.7,309.2,1645,30.8,137,Medium
L49397,L,299.7,309.1,1347,55.3,139,Medium
L49398,L,299.7,309.1,1713,33.5,141,Medium
M17079,M,299.6,309.1,1435,48.4,143,Medium
M17080,M,299.6,309.0,1736,26.1,146,Medium
L49401,L,299.6,309.0,1372,60.4,149,Medium
L49402,L,299.7,309.0,1605,33.0,151,Medium
L49403,L,299.6,309.0,1413,48.5,153,Medium
M17084,M,299.7,309.0,1645,31.9,155,Medium
M17085,M,299.7,309.0,1465,49.0,158,Medium
M17086,M,299.6,308.9,1685,27.8,161,Medium
L49407,L,299.5,308.8,1965,20.4,164,Medium
H31642,H,299.4,308.6,1542,41.8,166,Medium
L49409,L,299.4,308.7,1681,30.8,171,Medium
L49410,L,299.5,308.7,1446,45.7,173,Medium
L49411,L,299.4,308.6,1415,56.4,175,Medium
L49412,L,299.5,308.6,1672,30.5,177,Medium
L49413,L,299.5,308.7,2549,13.0,179,Critical
L49414,L,299.4,308.6,1492,40.5,181,Critical
M17095,M,299.4,308.6,1455,42.7,183,Critical
M17096,M,299.3,308.5,1422,43.1,186,Critical
L49417,L,299.3,308.6,1403,50.6,189,Critical
L49418,L,299.3,308.6,1474,49.6,191,Critical
L49419,L,299.2,308.6,1381,50.0,193,Critical
L49420,L,299.2,308.5,1457,44.7,195,Critical
L49421,L,299.2,308.4,1711,28.9,197,Critical
L49422,L,299.2,308.4,1667,29.0,199,Critical
L49423,L,299.2,308.4,1465,35.0,201,Critical
M17104,M,299.3,308.4,1542,37.5,203,Critical
M17105,M,299.3,308.4,1438,42.3,0,Healthy
L49426,L,299.3,308.4,1406,47.4,3,Healthy
M17107,M,299.2,308.4,1396,48.5,5,Healthy
M17108,M,299.3,308.5,1304,60.6,8,Healthy
L49429,L,299.2,308.5,1442,46.5,11,Healthy
M17110,M,299.2,308.4,1396,48.7,13,Healthy
H31665,H,299.1,308.3,1424,43.4,16,Healthy
H31666,H,299.1,308.3,1451,42.8,21,Healthy
L49433,L,299.2,308.4,1386,54.1,26,Healthy
L49434,L,299.1,308.3,1325,46.9,28,Healthy
L49435,L,299.1,308.3,1559,33.7,30,Healthy
L49436,L,299.1,308.3,1489,38.1,32,Healthy
L49437,L,299.1,308.3,1892,25.2,34,Healthy
L49438,L,299.1,308.2,1319,60.3,36,Healthy
L49439,L,299.1,308.3,1431,52.3,38,Healthy
H31674,H,299.1,308.3,1521,36.5,40,Healthy
M17121,M,299.1,308.2,1435,45.2,45,Healthy
L49442,L,299.1,308.3,1533,42.4,48,Healthy
M17123,M,299.2,308.4,1529,43.0,50,Healthy
M17124,M,299.2,308.4,1415,43.5,53,Healthy
M17125,M,299.2,308.4,1330,51.2,56,Healthy
L49446,L,299.2,308.5,1381,60.6,59,Healthy
L49447,L,299.2,308.5,1370,52.4,61,Healthy
L49448,L,299.2,308.5,1438,46.6,63,Healthy
L49449,L,299.3,308.6,1314,48.2,65,Healthy
L49450,L,299.3,308.6,1437,48.1,67,Healthy
L49451,L,299.2,308.5,1821,26.1,69,Healthy
M17132,M,299.3,308.6,1448,52.1,71,Healthy
L49453,L,299.3,308.5,1589,32.7,74,Healthy
L49454,L,299.3,308.6,1520,33.7,76,Healthy
L49455,L,299.3,308.6,1605,37.0,78,Healthy
L49456,L,299.3,308.7,1393,54.2,80,Medium
H31691,H,299.3,308.7,1408,44.4,82,Medium
M17138,M,299.3,308.7,1459,35.6,87,Medium
L49459,L,299.4,308.7,1525,39.0,90,Medium
L49460,L,299.4,308.8,1390,57.0,92,Medium
L49461,L,299.3,308.7,1536,38.9,94,Medium
L49462,L,299.4,308.7,1459,47.6,96,Medium
L49463,L,299.2,308.5,1387,51.1,98,Medium
L49464,L,299.2,308.5,1378,53.4,100,Medium
L49465,L,299.4,308.7,1381,56.7,102,Medium
M17146,M,299.4,308.7,1289,60.5,104,Medium
L49467,L,299.4,308.6,1746,26.8,107,Medium
M17148,M,299.4,308.6,1541,39.1,109,Medium
L49469,L,299.4,308.7,1504,37.8,112,Medium
M17150,M,299.5,308.7,1321,51.9,114,Medium
M17151,M,299.5,308.8,1886,20.9,117,Medium
L49472,L,299.6,308.9,1422,53.2,120,Medium
L49473,L,299.5,308.9,1520,38.3,122,Medium
L49474,L,299.4,308.8,1627,32.6,124,Medium
L49475,L,299.4,308.7,1512,37.2,126,Medium
L49476,L,299.4,308.7,1553,42.7,128,Medium
L49477,L,299.3,308.7,1802,26.0,130,Medium
L49478,L,299.3,308.6,1482,37.6,132,Medium
L49479,L,299.4,308.7,1446,62.9,134,Critical
L49480,L,299.3,308.6,1371,50.5,136,Medium
M17161,M,299.2,308.6,1586,35.7,138,Medium
L49482,L,299.2,308.5,1515,39.8,141,Medium
L49483,L,299.2,308.5,1374,53.6,143,Medium
L49484,L,299.1,308.5,1455,39.8,145,Medium
H31719,H,299.2,308.5,1342,47.5,147,Medium
L49486,L,299.1,308.6,1260,57.8,152,Medium
H31721,H,299.0,308.5,1623,33.5,154,Medium
L49488,L,299.1,308.5,1371,55.5,159,Medium
L49489,L,299.1,308.6,1611,31.4,161,Medium
M17170,M,299.0,308.4,1535,47.5,163,Medium
M17171,M,299.1,308.6,1491,38.5,166,Medium
M17172,M,299.1,308.6,1441,36.2,169,Medium
M17173,M,299.1,308.8,1725,26.6,172,Medium
L49494,L,299.2,308.9,1368,47.2,175,Medium
L49495,L,299.2,308.9,1526,37.9,177,Medium
L49496,L,299.2,308.8,1542,39.2,179,Medium
L49497,L,299.2,308.8,1605,31.1,181,Critical
L49498,L,299.2,308.8,1405,51.4,183,Critical
M17179,M,299.2,308.8,1700,33.5,185,Critical
H31734,H,299.2,308.8,1440,39.1,188,Critical
M17181,M,299.2,308.8,1314,52.5,193,Critical
L49502,L,299.2,308.7,1514,41.9,196,Critical
M17183,M,299.2,308.7,1401,47.0,198,Critical
L49504,L,299.3,308.8,1636,29.9,201,Critical
L49505,L,299.3,308.8,1603,33.9,203,Critical
M17186,M,299.4,308.7,1487,52.6,205,Critical
M17187,M,299.3,308.7,1420,50.3,208,Critical
L49508,L,299.3,308.7,1579,36.3,211,Critical
L49509,L,299.3,308.7,1484,40.5,213,Critical
M17190,M,299.3,308.7,1390,49.3,215,Critical
L49511,L,299.3,308.6,1384,53.6,218,Critical
L49512,L,299.2,308.5,1378,50.4,220,Critical
L49513,L,299.2,308.5,1445,45.2,222,Critical
L49514,L,299.2,308.4,1445,43.5,224,Critical
L49515,L,299.2,308.4,1509,39.4,0,Healthy
L49516,L,299.2,308.4,1434,46.8,2,Healthy
L49517,L,299.2,308.4,1877,23.9,4,Healthy
L49518,L,299.3,308.3,1651,28.0,6,Healthy
L49519,L,299.2,308.2,1466,41.3,8,Healthy
L49520,L,299.1,308.1,1479,40.7,10,Healthy
L49521,L,299.1,308.2,1409,46.4,12,Healthy
M17202,M,299.2,308.2,1674,28.2,14,Healthy
L49523,L,299.1,308.3,1305,61.4,17,Healthy
M17204,M,299.2,308.3,1755,26.4,19,Healthy
L49525,L,299.2,308.4,1475,38.7,22,Healthy
L49526,L,299.2,308.4,1402,47.7,24,Healthy
L49527,L,299.2,308.3,1410,43.0,26,Healthy
L49528,L,299.2,308.4,1436,41.8,28,Healthy
M17209,M,299.3,308.5,1386,42.2,30,Healthy
L49530,L,299.3,308.6,1744,26.4,33,Healthy
L49531,L,299.2,308.4,1393,48.4,35,Healthy
M17212,M,299.3,308.5,1422,45.4,37,Healthy
L49533,L,299.2,308.4,1841,22.8,40,Healthy
L49534,L,299.3,308.6,1433,37.7,42,Healthy
M17215,M,299.3,308.5,1305,60.6,44,Healthy
H31770,H,299.3,308.6,1498,39.5,47,Healthy
L49537,L,299.3,308.5,1772,26.1,52,Healthy
M17218,M,299.2,308.4,1381,42.5,54,Healthy
L49539,L,299.3,308.5,1413,38.5,57,Healthy
H31774,H,299.2,308.4,1388,53.2,59,Healthy
M17221,M,299.2,308.6,1631,35.4,64,Healthy
H31776,H,299.3,308.6,1520,41.4,67,Healthy
L49543,L,299.3,308.5,1510,45.4,72,Healthy
L49544,L,299.2,308.5,1366,49.7,74,Healthy
L49545,L,299.4,308.5,1845,22.9,76,Healthy
L49546,L,299.3,308.5,1485,44.7,78,Healthy
M17227,M,299.3,308.5,1496,39.4,80,Medium
M17228,M,299.3,308.4,1468,42.2,83,Medium
M17229,M,299.2,308.4,1856,22.7,86,Medium
L49550,L,299.2,308.4,1620,34.1,89,Medium
L49551,L,299.3,308.5,1409,44.8,91,Medium
M17232,M,299.3,308.5,1404,49.4,93,Medium
L49553,L,299.2,308.4,1350,51.3,96,Medium
M17234,M,299.2,308.4,1538,38.0,98,Medium
M17235,M,299.2,308.4,1476,32.7,101,Medium
M17236,M,299.2,308.3,1364,51.8,104,Medium
M17237,M,299.2,308.3,1582,45.5,107,Medium
L49558,L,299.1,308.2,1348,56.1,110,Medium
H31793,H,299.1,308.2,1450,46.1,112,Medium
L49560,L,299.0,308.1,1242,60.9,117,Medium
L49561,L,299.1,308.2,1493,34.9,119,Medium
L49562,L,299.1,308.3,1601,31.4,121,Medium
L49563,L,299.1,308.2,1568,33.3,123,Medium
M17244,M,299.1,308.3,1506,38.0,125,Medium
L49565,L,299.1,308.3,1524,34.1,128,Medium
L49566,L,299.1,308.4,1543,37.9,130,Medium
M17247,M,299.2,308.5,1474,47.2,132,Medium
M17248,M,299.2,308.5,1526,37.3,135,Medium
L49569,L,299.2,308.5,1867,27.0,138,Medium
L49570,L,299.2,308.5,1487,41.2,140,Medium
L49571,L,299.2,308.4,1580,32.6,142,Medium
L49572,L,299.2,308.5,1340,50.0,144,Medium
L49573,L,299.2,308.5,1544,41.6,146,Medium
L49574,L,299.2,308.5,1488,40.3,148,Medium
M17255,M,299.2,308.5,1742,28.9,150,Medium
M17256,M,299.1,308.5,1592,34.2,153,Medium
L49577,L,299.2,308.6,1582,38.8,156,Medium
L49578,L,299.2,308.5,1490,43.2,158,Medium
M17259,M,299.2,308.5,1594,35.8,160,Medium
H31814,H,299.2,308.6,1462,55.0,163,Medium
M17261,M,299.2,308.6,1367,47.6,168,Medium
L49582,L,299.2,308.7,1325,51.0,171,Medium
H31817,H,299.2,308.7,1448,51.4,173,Medium
M17264,M,299.1,308.7,2008,20.3,178,Medium
L49585,L,299.1,308.7,1498,38.9,181,Critical
L49586,L,299.1,308.6,1437,41.6,183,Critical
M17267,M,299.1,308.6,1499,45.1,185,Critical
L49588,L,299.0,308.4,1356,52.6,188,Critical
L49589,L,299.1,308.5,1539,46.8,190,Critical
L49590,L,299.1,308.5,1689,32.1,192,Critical
L49591,L,299.0,308.5,1559,38.1,194,Critical
L49592,L,299.1,308.6,1408,46.7,196,Critical
L49593,L,299.0,308.5,1886,23.0,198,Critical
L49594,L,299.1,308.5,1415,43.4,0,Healthy
M17275,M,299.1,308.5,1587,35.6,2,Healthy
L49596,L,299.0,308.4,1571,38.6,5,Healthy
L49597,L,298.9,308.3,1576,36.6,7,Healthy
L49598,L,298.9,308.3,1660,34.4,9,Healthy
M17279,M,298.9,308.2,1328,49.2,11,Healthy
H31834,H,298.8,308.2,1450,44.7,14,Healthy
L49601,L,298.9,308.2,2384,15.0,19,Healthy
L49602,L,298.8,308.2,1443,53.4,21,Healthy
M17283,M,298.9,308.2,2022,20.0,23,Healthy
L49604,L,298.9,308.2,1828,23.8,26,Healthy
L49605,L,298.8,308.1,1472,53.5,28,Healthy
M17286,M,298.9,308.2,1372,63.6,30,Critical
L49607,L,298.9,308.3,1855,23.8,33,Healthy
M17288,M,299.0,308.3,1377,47.2,35,Healthy
L49609,L,298.9,308.3,1432,48.9,38,Healthy
M17290,M,298.9,308.2,1335,47.8,40,Healthy
M17291,M,298.9,308.2,1411,51.3,43,Healthy
L49612,L,298.9,308.2,1510,43.5,46,Healthy
L49613,L,299.0,308.3,1441,44.0,48,Healthy
M17294,M,299.0,308.2,1358,42.7,50,Healthy
L49615,L,298.9,308.2,1686,30.4,53,Healthy
H31850,H,299.0,308.2,1662,30.4,55,Healthy
L49617,L,299.1,308.3,1426,40.1,60,Healthy
M17298,M,299.1,308.4,1330,53.6,62,Healthy
L49619,L,299.1,308.4,1693,31.6,65,Healthy
L49620,L,299.1,308.4,1426,47.9,67,Healthy
L49621,L,299.1,308.5,1676,31.0,69,Healthy
M17302,M,299.1,308.4,1332,51.7,71,Healthy
L49623,L,299.1,308.5,1647,35.0,74,Healthy
L49624,L,299.2,308.6,1267,68.2,76,Critical
H31859,H,299.2,308.7,1375,55.1,78,Healthy
L49626,L,299.3,308.6,1422,48.9,83,Medium
L49627,L,299.3,308.7,1408,48.7,85,Medium
L49628,L,299.4,308.9,1440,42.5,87,Medium
L49629,L,299.3,308.8,1772,25.2,89,Medium
L49630,L,299.2,308.7,1492,37.8,91,Medium
L49631,L,299.2,308.7,1650,30.5,93,Medium
M17312,M,299.1,308.6,2329,14.6,95,Medium
L49633,L,299.0,308.6,1648,30.8,98,Medium
L49634,L,299.0,308.6,1653,31.7,100,Medium
L49635,L,299.0,308.6,1946,22.3,102,Medium
L49636,L,299.1,308.6,1555,36.6,104,Medium
L49637,L,299.0,308.6,1661,32.2,106,Medium
L49638,L,299.0,308.6,1434,45.9,108,Medium
L49639,L,299.0,308.6,1297,54.2,110,Medium
L49640,L,299.0,308.6,1466,46.4,112,Medium
M17321,M,298.9,308.6,1517,39.8,114,Medium
L49642,L,298.9,308.5,1742,34.5,117,Medium
L49643,L,298.9,308.5,1580,39.1,119,Medium
M17324,M,298.9,308.5,1534,42.9,121,Medium
L49645,L,298.9,308.6,1481,40.7,124,Medium
L49646,L,299.0,308.6,1429,37.7,126,Medium
M17327,M,298.9,308.6,1574,33.5,128,Medium
M17328,M,298.9,308.6,1524,40.4,131,Medium
L49649,L,299.0,308.7,1507,37.5,134,Medium
L49650,L,298.9,308.5,1467,44.7,136,Medium
L49651,L,298.9,308.4,1301,51.1,138,Medium
L49652,L,298.9,308.5,1429,55.1,140,Medium
M17333,M,298.9,308.5,1555,37.6,142,Medium
L49654,L,298.9,308.5,1503,40.6,145,Medium
L49655,L,298.9,308.5,1459,43.1,147,Medium
H31890,H,298.9,308.4,1449,42.4,149,Medium
L49657,L,298.9,308.5,1387,57.3,154,Medium
M17338,M,298.9,308.5,1456,50.0,156,Medium
L49659,L,299.0,308.5,1604,34.7,159,Medium
L49660,L,299.0,308.6,1734,32.4,161,Medium
L49661,L,299.0,308.6,1378,47.8,163,Medium
L49662,L,298.9,308.7,1504,41.8,165,Medium
M17343,M,298.9,308.7,1402,49.8,167,Medium
H31898,H,298.8,308.6,1524,37.7,170,Medium
L49665,L,298.8,308.6,1593,35.5,175,Medium
M17346,M,298.9,308.7,1772,28.4,177,Medium
H31901,H,298.9,308.6,1623,31.0,180,Critical
L49668,L,298.9,308.7,1356,50.7,185,Critical
H31903,H,298.9,308.7,1500,41.6,187,Critical
H31904,H,299.1,308.8,1566,46.6,192,Critical
L49671,L,299.1,308.9,1445,43.4,197,Critical
H31906,H,299.0,308.8,1382,58.5,199,Critical
M17353,M,299.0,308.8,1418,45.7,204,Critical
L49674,L,299.1,308.8,1329,53.6,207,Critical
M17355,M,299.1,308.8,1491,41.0,209,Critical
M17356,M,299.2,308.9,1573,37.4,212,Critical
M17357,M,299.2,308.9,1521,42.3,215,Critical
L49678,L,299.1,308.9,1467,47.2,218,Critical
M17359,M,299.1,308.9,1325,48.4,220,Critical
L49680,L,299.1,308.9,1617,32.3,223,Critical
M17361,M,299.1,308.9,1476,42.7,225,Critical
L49682,L,299.2,309.0,1515,48.9,228,Critical
L49683,L,299.2,309.0,1408,47.2,0,Healthy
L49684,L,299.2,309.1,1468,45.6,2,Healthy
L49685,L,299.2,309.1,1387,48.7,4,Healthy
M17366,M,299.2,309.1,1503,34.7,6,Healthy
H31921,H,299.2,309.1,1410,47.1,9,Healthy
L49688,L,299.0,308.9,1615,30.6,14,Healthy
L49689,L,299.0,308.9,1511,35.9,16,Healthy
L49690,L,299.1,309.0,1405,53.8,18,Healthy
M17371,M,299.0,308.9,1526,41.1,20,Healthy
L49692,L,298.9,308.8,1530,38.3,23,Healthy
L49693,L,299.0,308.7,1583,32.5,25,Healthy
L49694,L,298.9,308.6,2069,18.7,27,Healthy
L49695,L,298.8,308.5,1490,35.0,29,Healthy
L49696,L,298.8,308.5,1736,29.0,31,Healthy
L49697,L,298.8,308.5,1395,44.4,33,Healthy
M17378,M,298.9,308.6,1425,49.6,35,Healthy
L49699,L,298.8,308.6,1631,32.4,38,Healthy
L49700,L,298.8,308.6,1535,41.2,40,Healthy
L49701,L,298.8,308.6,1584,34.4,42,Healthy
M17382,M,298.8,308.7,1543,38.2,44,Healthy
L49703,L,298.8,308.7,1635,35.2,47,Healthy
M17384,M,298.8,308.7,1446,45.5,49,Healthy
M17385,M,298.8,308.6,1598,35.1,52,Healthy
L49706,L,298.8,308.6,1501,35.0,55,Healthy
L49707,L,298.8,308.5,1450,50.8,57,Healthy
L49708,L,298.8,308.6,1730,25.9,59,Healthy
M17389,M,298.8,308.6,1571,33.7,61,Healthy
L49710,L,298.9,308.7,1438,51.7,64,Healthy
M17391,M,298.8,308.5,1510,38.7,66,Healthy
L49712,L,298.9,308.7,1389,44.9,69,Healthy
L49713,L,298.8,308.7,1490,33.6,71,Healthy
L49714,L,298.9,308.7,1729,26.6,73,Healthy
L49715,L,299.0,308.8,1495,38.4,75,Healthy
L49716,L,298.9,308.8,1281,53.9,77,Healthy
H31951,H,298.9,308.7,1353,48.1,79,Healthy
L49718,L,299.1,308.8,1429,50.1,84,Medium
L49719,L,299.1,308.8,1413,42.1,86,Medium
L49720,L,299.1,308.8,1502,38.3,88,Medium
H31955,H,299.1,308.8,1553,32.6,90,Medium
H31956,H,299.2,308.9,1712,26.4,95,Medium
L49723,L,299.3,309.0,1786,23.5,100,Medium
L49724,L,299.2,309.0,1951,21.4,102,Medium
M17405,M,299.2,309.0,1541,36.3,104,Medium
L49726,L,299.2,309.1,1605,34.3,107,Medium
L49727,L,299.2,309.1,1578,38.1,109,Medium
M17408,M,299.3,309.2,1440,37.5,111,Medium
L49729,L,299.4,309.2,1489,42.3,114,Medium
L49730,L,299.4,309.3,1366,48.4,116,Medium
L49731,L,299.3,309.2,1541,37.2,118,Medium
H31966,H,299.3,309.1,1552,40.7,120,Medium
L49733,L,299.3,309.1,1473,40.3,125,Medium
