machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,health,maintenance_count,last_service_days,next_service_days,maintenance_type,total_downtime_hours,maintenance_cost,last_failure,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend,annual_maintenance,retrofit_cost,replacement_cost,expected_life_years,energy_cost_per_year,resale_value,production_loss_per_day
L49718,L,299.1,308.8,1429,50.1,84,Medium,3,78,138,Preventive,7,750,No,6638,2.7,7.3,47.6,Declining,2500,8000,25000,5,1500,5000,800
L49719,L,299.1,308.8,1413,42.1,86,Medium,3,77,137,Preventive,7,750,No,6696,2.7,7.3,47.1,Declining,2500,8000,25000,5,1500,5000,800
L49720,L,299.1,308.8,1502,38.3,88,Medium,3,76,136,Preventive,7,750,No,6964,2.8,7.2,50.1,Declining,2500,8000,25000,5,1500,5000,800
H31955,H,299.1,308.8,1553,32.6,90,Medium,3,75,135,Preventive,7,1450,No,7156,2.9,7.1,51.8,Declining,7000,25000,70000,10,4200,15000,2500
H31956,H,299.2,308.9,1712,26.4,95,Medium,3,73,133,Preventive,7,1450,No,7699,3.1,6.9,57.1,Declining,7000,25000,70000,10,4200,15000,2500
L49723,L,299.3,309.0,1786,23.5,100,Medium,3,70,130,Preventive,8,750,No,8072,3.2,6.8,59.5,Declining,2500,8000,25000,5,1500,5000,800
L49724,L,299.2,309.0,1951,21.4,102,Medium,3,69,129,Preventive,8,750,No,8492,3.4,6.6,65.0,Declining,2500,8000,25000,5,1500,5000,800
M17405,M,299.2,309.0,1541,36.3,104,Medium,3,68,128,Preventive,8,1050,No,7762,3.1,6.9,51.4,Declining,4500,15000,45000,7,2800,9000,1500
L49726,L,299.2,309.1,1605,34.3,107,Medium,4,67,127,Preventive,8,900,No,8025,3.2,6.8,53.5,Declining,2500,8000,25000,5,1500,5000,800
L49727,L,299.2,309.1,1578,38.1,109,Medium,4,66,126,Preventive,9,900,No,8061,3.2,6.8,52.6,Declining,2500,8000,25000,5,1500,5000,800
M17408,M,299.3,309.2,1440,37.5,111,Medium,4,65,125,Preventive,9,1200,No,7875,3.2,6.8,48.0,Declining,4500,15000,45000,7,2800,9000,1500
L49729,L,299.4,309.2,1489,42.3,114,Medium,4,63,123,Preventive,9,900,No,8108,3.2,6.8,49.6,Declining,2500,8000,25000,5,1500,5000,800
L49730,L,299.4,309.3,1366,48.4,116,Medium,4,62,122,Preventive,9,900,No,7952,3.2,6.8,45.5,Declining,2500,8000,25000,5,1500,5000,800
L49731,L,299.3,309.2,1541,37.2,118,Medium,4,61,121,Preventive,9,900,No,8392,3.4,6.6,51.4,Declining,2500,8000,25000,5,1500,5000,800
H31966,H,299.3,309.1,1552,40.7,120,Medium,4,60,120,Corrective,10,1600,No,8504,3.4,6.6,51.7,Declining,7000,25000,70000,10,4200,15000,2500
L49733,L,299.3,309.1,1473,40.3,125,Medium,4,58,118,Corrective,10,900,No,8571,3.4,6.6,49.1,Declining,2500,8000,25000,5,1500,5000,800
L49734,L,299.3,309.1,1531,37.9,127,Medium,4,57,117,Corrective,10,900,No,8777,3.5,6.5,51.0,Declining,2500,8000,25000,5,1500,5000,800
L49735,L,299.3,309.2,1511,37.2,129,Medium,4,56,116,Corrective,10,900,No,8827,3.5,6.5,50.4,Declining,2500,8000,25000,5,1500,5000,800
M17416,M,299.3,309.1,1449,47.9,131,Medium,4,55,115,Corrective,10,1200,No,8793,3.5,6.5,48.3,Declining,4500,15000,45000,7,2800,9000,1500
M17417,M,299.4,309.1,1440,50.0,134,Medium,4,53,113,Corrective,11,1200,No,8910,3.6,6.4,48.0,Declining,4500,15000,45000,7,2800,9000,1500
M17418,M,299.2,309.0,1881,23.9,137,Medium,4,52,112,Corrective,11,1200,No,9927,4.0,6.0,62.7,Declining,4500,15000,45000,7,2800,9000,1500
L49739,L,299.3,309.0,1447,50.4,140,Medium,5,50,110,Corrective,11,1050,No,9194,3.7,6.3,48.2,Declining,2500,8000,25000,5,1500,5000,800
M17420,M,299.4,309.1,1326,62.0,142,Medium,5,49,109,Corrective,11,1350,No,9042,3.6,6.4,44.2,Declining,4500,15000,45000,7,2800,9000,1500
L49741,L,299.4,309.2,1607,31.7,145,Medium,5,48,108,Corrective,12,1050,No,9739,3.9,6.1,53.6,Declining,2500,8000,25000,5,1500,5000,800
L49742,L,299.3,309.1,1551,39.1,147,Medium,5,47,107,Corrective,12,1050,No,9717,3.9,6.1,51.7,Declining,2500,8000,25000,5,1500,5000,800
L49743,L,299.3,309.1,1496,37.2,149,Medium,5,46,106,Corrective,12,1050,No,9697,3.9,6.1,49.9,Declining,2500,8000,25000,5,1500,5000,800
L49744,L,299.3,309.1,1493,38.0,151,Medium,5,45,105,Corrective,12,1050,No,9781,3.9,6.1,49.8,Declining,2500,8000,25000,5,1500,5000,800
L49745,L,299.4,309.1,1304,50.5,153,Medium,5,44,104,Corrective,12,1050,No,9493,3.8,6.2,43.5,Declining,2500,8000,25000,5,1500,5000,800
M17426,M,299.3,309.0,1420,41.6,155,Medium,5,43,103,Corrective,12,1350,No,9815,3.9,6.1,47.3,Declining,4500,15000,45000,7,2800,9000,1500
L49747,L,299.4,309.1,1766,24.6,158,Medium,5,41,101,Corrective,13,1050,No,10642,4.3,5.7,58.9,Declining,2500,8000,25000,5,1500,5000,800
L49748,L,299.6,309.2,1450,43.1,160,Medium,5,40,100,Corrective,13,1050,No,10100,4.0,6.0,48.3,Declining,2500,8000,25000,5,1500,5000,800
H31983,H,299.5,309.2,1872,22.6,162,Medium,5,39,99,Corrective,13,1750,No,11034,4.4,5.6,62.4,Declining,7000,25000,70000,10,4200,15000,2500
L49750,L,299.6,309.2,1713,26.5,167,Medium,5,37,97,Corrective,13,1050,No,10941,4.4,5.6,57.1,Declining,2500,8000,25000,5,1500,5000,800
M17431,M,299.5,309.2,1497,40.9,169,Medium,5,36,96,Corrective,14,1350,No,10599,4.2,5.8,49.9,Declining,4500,15000,45000,7,2800,9000,1500
M17432,M,299.4,309.1,1352,44.7,172,Medium,5,34,94,Corrective,14,1350,No,10444,4.2,5.8,45.1,Declining,4500,15000,45000,7,2800,9000,1500
L49753,L,299.5,309.2,1499,41.5,175,Medium,6,33,93,Corrective,14,1200,No,10873,4.3,5.7,50.0,Declining,2500,8000,25000,5,1500,5000,800
L49754,L,299.5,309.3,1972,19.3,177,Medium,6,32,92,Corrective,14,1200,No,11909,4.8,5.2,65.7,Declining,2500,8000,25000,5,1500,5000,800
L49755,L,299.5,309.3,1422,49.2,179,Medium,6,31,91,Corrective,14,1200,No,10899,4.4,5.6,47.4,Declining,2500,8000,25000,5,1500,5000,800
L49756,L,299.5,309.3,1523,41.5,181,Critical,6,30,90,Corrective,15,1200,No,11191,4.5,5.5,50.8,Critical,2500,8000,25000,5,1500,5000,800
L49757,L,299.5,309.4,1563,41.5,183,Critical,6,29,89,Corrective,15,1200,No,11361,4.5,5.5,52.1,Critical,2500,8000,25000,5,1500,5000,800
L49758,L,299.4,309.3,1391,46.6,185,Critical,6,28,88,Corrective,15,1200,No,11107,4.4,5.6,46.4,Critical,2500,8000,25000,5,1500,5000,800
L49759,L,299.3,309.1,1795,24.7,187,Critical,6,27,87,Corrective,15,1200,No,12005,4.8,5.2,59.8,Critical,2500,8000,25000,5,1500,5000,800
L49760,L,299.3,309.1,1293,53.7,189,Critical,6,26,86,Corrective,15,1200,No,11091,4.4,5.6,43.1,Critical,2500,8000,25000,5,1500,5000,800
L49761,L,299.2,309.1,1345,60.7,191,Critical,8,25,85,Emergency,39,1500,Yes,11285,4.5,5.5,44.8,Critical,2500,8000,25000,5,1500,5000,800
L49762,L,299.2,309.0,1615,33.7,193,Critical,6,24,84,Corrective,16,1200,No,11915,4.8,5.2,53.8,Critical,2500,8000,25000,5,1500,5000,800
L49763,L,299.2,308.9,1342,50.8,195,Critical,6,23,83,Corrective,16,1200,No,11459,4.6,5.4,44.7,Critical,2500,8000,25000,5,1500,5000,800
L49764,L,299.1,308.8,1502,46.7,197,Critical,6,22,82,Corrective,16,1200,No,11869,4.7,5.3,50.1,Critical,2500,8000,25000,5,1500,5000,800
M17445,M,299.0,308.7,1620,35.4,199,Critical,6,21,81,Corrective,16,1500,No,12195,4.9,5.1,54.0,Critical,4500,15000,45000,7,2800,9000,1500
L49766,L,299.0,308.7,1537,42.8,202,Critical,6,19,79,Corrective,16,1200,No,12164,4.9,5.1,51.2,Critical,2500,8000,25000,5,1500,5000,800
L49767,L,299.0,308.7,2248,16.8,204,Critical,6,18,78,Corrective,17,1200,No,13676,5.5,4.5,74.9,Critical,2500,8000,25000,5,1500,5000,800
L49768,L,299.0,308.7,1706,28.6,206,Critical,6,17,77,Corrective,17,1200,No,12682,5.1,4.9,56.9,Critical,2500,8000,25000,5,1500,5000,800
L49769,L,299.0,308.7,2250,16.6,208,Critical,6,16,76,Corrective,17,1200,No,13860,5.5,4.5,75.0,Critical,2500,8000,25000,5,1500,5000,800
L49770,L,299.0,308.7,1396,48.6,0,Healthy,1,120,180,Preventive,0,450,No,2792,1.1,8.9,46.5,Stable,2500,8000,25000,5,1500,5000,800
L49771,L,298.9,308.6,1522,46.4,2,Healthy,1,119,179,Preventive,0,450,No,3134,1.3,8.7,50.7,Stable,2500,8000,25000,5,1500,5000,800
L49772,L,298.9,308.6,1539,45.4,4,Healthy,1,118,178,Preventive,0,450,No,3258,1.3,8.7,51.3,Stable,2500,8000,25000,5,1500,5000,800
H32007,H,298.9,308.5,1415,54.0,6,Healthy,1,117,177,Preventive,0,1150,No,3100,1.2,8.8,47.2,Stable,7000,25000,70000,10,4200,15000,2500
L49774,L,298.8,308.5,1446,37.0,11,Healthy,1,115,175,Preventive,0,450,No,3387,1.4,8.6,48.2,Stable,2500,8000,25000,5,1500,5000,800
M17455,M,298.8,308.6,1486,41.1,13,Healthy,1,114,174,Preventive,1,750,No,3557,1.4,8.6,49.5,Stable,4500,15000,45000,7,2800,9000,1500
L49776,L,299.0,308.7,1426,38.6,16,Healthy,1,112,172,Preventive,1,450,No,3572,1.4,8.6,47.5,Stable,2500,8000,25000,5,1500,5000,800
L49777,L,299.0,308.7,1449,38.9,18,Healthy,1,111,171,Preventive,1,450,No,3708,1.5,8.5,48.3,Stable,2500,8000,25000,5,1500,5000,800
L49778,L,299.1,308.8,1320,67.5,20,Critical,3,110,170,Emergency,25,750,Yes,3540,1.4,8.6,44.0,Critical,2500,8000,25000,5,1500,5000,800
M17459,M,299.2,308.9,1447,39.6,22,Healthy,1,109,169,Preventive,1,750,No,3884,1.6,8.4,48.2,Stable,4500,15000,45000,7,2800,9000,1500
L49780,L,299.3,309.0,1422,47.3,25,Healthy,1,108,168,Preventive,2,450,No,3969,1.6,8.4,47.4,Stable,2500,8000,25000,5,1500,5000,800
L49781,L,299.3,309.1,1399,52.1,27,Healthy,1,107,167,Preventive,2,450,No,4013,1.6,8.4,46.6,Stable,2500,8000,25000,5,1500,5000,800
L49782,L,299.4,309.2,1427,41.5,29,Healthy,1,106,166,Preventive,2,450,No,4159,1.7,8.3,47.6,Stable,2500,8000,25000,5,1500,5000,800
M17463,M,299.3,309.2,1334,46.3,31,Healthy,1,105,165,Preventive,2,750,No,4063,1.6,8.4,44.5,Stable,4500,15000,45000,7,2800,9000,1500
M17464,M,299.3,309.1,1385,45.6,34,Healthy,1,103,163,Preventive,2,750,No,4300,1.7,8.3,46.2,Stable,4500,15000,45000,7,2800,9000,1500
L49785,L,299.4,309.2,1552,37.4,37,Healthy,2,102,162,Preventive,3,600,No,4769,1.9,8.1,51.7,Stable,2500,8000,25000,5,1500,5000,800
H32020,H,299.4,309.3,1534,37.5,39,Healthy,2,101,161,Preventive,3,1300,No,4823,1.9,8.1,51.1,Stable,7000,25000,70000,10,4200,15000,2500
L49787,L,299.4,309.3,1448,48.6,44,Healthy,2,98,158,Preventive,3,600,No,4876,2.0,8.0,48.3,Stable,2500,8000,25000,5,1500,5000,800
L49788,L,299.5,309.3,1409,44.7,46,Healthy,2,97,157,Preventive,3,600,No,4888,2.0,8.0,47.0,Stable,2500,8000,25000,5,1500,5000,800
L49789,L,299.4,309.2,1621,34.5,48,Healthy,2,96,156,Preventive,4,600,No,5402,2.2,7.8,54.0,Stable,2500,8000,25000,5,1500,5000,800
H32024,H,299.4,309.1,1547,40.9,50,Healthy,2,95,155,Preventive,4,1300,No,5344,2.1,7.9,51.6,Stable,7000,25000,70000,10,4200,15000,2500
L49791,L,299.4,309.1,1957,22.1,55,Healthy,2,93,153,Preventive,4,600,No,6389,2.6,7.4,65.2,Stable,2500,8000,25000,5,1500,5000,800
L49792,L,299.4,309.1,2421,14.2,57,Healthy,2,92,152,Preventive,4,600,No,7407,3.0,7.0,80.7,Stable,2500,8000,25000,5,1500,5000,800
M17473,M,299.3,309.1,1571,38.3,59,Healthy,2,91,151,Preventive,4,900,No,5797,2.3,7.7,52.4,Stable,4500,15000,45000,7,2800,9000,1500
L49794,L,299.3,309.1,1634,36.8,62,Healthy,2,89,149,Preventive,5,600,No,6058,2.4,7.6,54.5,Stable,2500,8000,25000,5,1500,5000,800
L49795,L,299.3,309.0,1516,38.7,64,Healthy,2,88,148,Preventive,5,600,No,5912,2.4,7.6,50.5,Stable,2500,8000,25000,5,1500,5000,800
L49796,L,299.4,309.1,1207,66.5,66,Healthy,2,87,147,Preventive,5,600,No,5384,2.2,7.8,40.2,Stable,2500,8000,25000,5,1500,5000,800
L49797,L,299.4,309.1,1670,35.9,68,Healthy,2,86,146,Preventive,5,600,No,6400,2.6,7.4,55.7,Stable,2500,8000,25000,5,1500,5000,800
M17478,M,299.4,309.1,1461,48.6,70,Healthy,3,85,145,Preventive,5,1050,No,6072,2.4,7.6,48.7,Stable,4500,15000,45000,7,2800,9000,1500
L49799,L,299.4,309.2,1569,40.8,73,Healthy,3,84,144,Preventive,6,750,No,6423,2.6,7.4,52.3,Stable,2500,8000,25000,5,1500,5000,800
L49800,L,299.4,309.2,1556,35.7,75,Healthy,3,83,143,Preventive,6,750,No,6487,2.6,7.4,51.9,Stable,2500,8000,25000,5,1500,5000,800
M17481,M,299.5,309.3,1506,41.5,77,Healthy,3,82,142,Preventive,6,1050,No,6477,2.6,7.4,50.2,Stable,4500,15000,45000,7,2800,9000,1500
M17482,M,299.6,309.4,1642,30.3,80,Medium,3,80,140,Preventive,6,1050,No,6884,2.8,7.2,54.7,Declining,4500,15000,45000,7,2800,9000,1500
M17483,M,299.6,309.4,1283,62.1,83,Medium,3,79,139,Preventive,6,1050,No,6301,2.5,7.5,42.8,Declining,4500,15000,45000,7,2800,9000,1500
H32038,H,299.7,309.5,1375,46.8,86,Medium,3,77,137,Preventive,7,1450,No,6620,2.6,7.4,45.8,Declining,7000,25000,70000,10,4200,15000,2500
L49805,L,299.7,309.4,1399,39.9,91,Medium,3,75,135,Preventive,7,750,No,6893,2.8,7.2,46.6,Declining,2500,8000,25000,5,1500,5000,800
L49806,L,299.7,309.4,1650,29.8,93,Medium,3,74,134,Preventive,7,750,No,7485,3.0,7.0,55.0,Declining,2500,8000,25000,5,1500,5000,800
M17487,M,299.8,309.6,1346,53.2,95,Medium,3,73,133,Preventive,7,1050,No,6967,2.8,7.2,44.9,Declining,4500,15000,45000,7,2800,9000,1500
H32042,H,299.9,309.6,1410,51.2,98,Medium,3,71,131,Preventive,8,1450,No,7230,2.9,7.1,47.0,Declining,7000,25000,70000,10,4200,15000,2500
L49809,L,300.0,309.7,1586,37.8,103,Medium,3,69,129,Preventive,8,750,No,7807,3.1,6.9,52.9,Declining,2500,8000,25000,5,1500,5000,800
L49810,L,300.0,309.8,1372,39.6,105,Medium,4,68,128,Preventive,8,900,No,7469,3.0,7.0,45.7,Declining,2500,8000,25000,5,1500,5000,800
H32045,H,300.0,309.7,1529,42.4,107,Medium,4,67,127,Preventive,8,1600,No,7873,3.1,6.9,51.0,Declining,7000,25000,70000,10,4200,15000,2500
M17492,M,300.0,309.7,1652,28.6,112,Medium,4,64,124,Preventive,9,1200,No,8344,3.3,6.7,55.1,Declining,4500,15000,45000,7,2800,9000,1500
L49813,L,300.1,309.8,1532,39.8,115,Medium,4,63,123,Preventive,9,900,No,8239,3.3,6.7,51.1,Declining,2500,8000,25000,5,1500,5000,800
L49814,L,300.0,309.7,1554,32.0,117,Medium,4,62,122,Preventive,9,900,No,8373,3.3,6.7,51.8,Declining,2500,8000,25000,5,1500,5000,800
H32049,H,299.9,309.6,1462,51.0,119,Medium,4,61,121,Preventive,9,1600,No,8279,3.3,6.7,48.7,Declining,7000,25000,70000,10,4200,15000,2500
L49816,L,299.9,309.6,1254,61.3,124,Medium,4,58,118,Corrective,10,900,No,8088,3.2,6.8,41.8,Declining,2500,8000,25000,5,1500,5000,800
L49817,L,299.9,309.6,1294,49.7,126,Medium,4,57,117,Corrective,10,900,No,8258,3.3,6.7,43.1,Declining,2500,8000,25000,5,1500,5000,800
L49818,L,299.8,309.5,1739,27.5,128,Medium,4,56,116,Corrective,10,900,No,9238,3.7,6.3,58.0,Declining,2500,8000,25000,5,1500,5000,800
M17499,M,299.8,309.4,1412,47.8,130,Medium,4,55,115,Corrective,10,1200,No,8674,3.5,6.5,47.1,Declining,4500,15000,45000,7,2800,9000,1500
M17500,M,299.9,309.5,1372,56.2,133,Medium,4,54,114,Corrective,11,1200,No,8729,3.5,6.5,45.7,Declining,4500,15000,45000,7,2800,9000,1500
H32055,H,299.8,309.5,1420,46.7,136,Medium,4,52,112,Corrective,11,1600,No,8960,3.6,6.4,47.3,Declining,7000,25000,70000,10,4200,15000,2500
L49822,L,299.8,309.5,1542,40.3,141,Medium,5,50,110,Corrective,11,1050,No,9429,3.8,6.2,51.4,Declining,2500,8000,25000,5,1500,5000,800
M17503,M,299.8,309.4,1401,48.1,143,Medium,5,49,109,Corrective,11,1350,No,9237,3.7,6.3,46.7,Declining,4500,15000,45000,7,2800,9000,1500
L49824,L,299.8,309.4,1510,42.5,146,Medium,5,47,107,Corrective,12,1050,No,9590,3.8,6.2,50.3,Declining,2500,8000,25000,5,1500,5000,800
H32059,H,299.9,309.5,1547,38.5,148,Medium,5,46,106,Corrective,12,1750,No,9754,3.9,6.1,51.6,Declining,7000,25000,70000,10,4200,15000,2500
M17506,M,299.8,309.5,1453,43.2,153,Medium,5,44,104,Corrective,12,1350,No,9791,3.9,6.1,48.4,Declining,4500,15000,45000,7,2800,9000,1500
L49827,L,299.8,309.4,1408,45.6,156,Medium,5,42,102,Corrective,13,1050,No,9836,3.9,6.1,46.9,Declining,2500,8000,25000,5,1500,5000,800
L49828,L,299.8,309.4,1436,51.6,158,Medium,5,41,101,Corrective,13,1050,No,9982,4.0,6.0,47.9,Declining,2500,8000,25000,5,1500,5000,800
M17509,M,299.9,309.5,1582,38.2,160,Medium,5,40,100,Corrective,13,1350,No,10364,4.1,5.9,52.7,Declining,4500,15000,45000,7,2800,9000,1500
L49830,L,299.9,309.6,1280,59.3,163,Medium,5,39,99,Corrective,13,1050,No,9895,4.0,6.0,42.7,Declining,2500,8000,25000,5,1500,5000,800
L49831,L,299.9,309.5,2008,20.4,165,Medium,5,38,98,Corrective,13,1050,No,11441,4.6,5.4,66.9,Declining,2500,8000,25000,5,1500,5000,800
L49832,L,299.9,309.5,1772,23.5,167,Medium,5,37,97,Corrective,13,1050,No,11059,4.4,5.6,59.1,Declining,2500,8000,25000,5,1500,5000,800
L49833,L,299.9,309.5,1779,26.1,169,Medium,5,36,96,Corrective,14,1050,No,11163,4.5,5.5,59.3,Declining,2500,8000,25000,5,1500,5000,800
L49834,L,299.9,309.5,1567,35.5,171,Medium,5,35,95,Corrective,14,1050,No,10829,4.3,5.7,52.2,Declining,2500,8000,25000,5,1500,5000,800
M17515,M,299.8,309.4,1751,27.0,173,Medium,5,34,94,Corrective,14,1350,No,11287,4.5,5.5,58.4,Declining,4500,15000,45000,7,2800,9000,1500
L49836,L,299.9,309.5,1349,51.3,176,Medium,6,32,92,Corrective,14,1200,No,10618,4.2,5.8,45.0,Declining,2500,8000,25000,5,1500,5000,800
M17517,M,300.0,309.5,1425,40.8,178,Medium,6,31,91,Corrective,14,1500,No,10860,4.3,5.7,47.5,Declining,4500,15000,45000,7,2800,9000,1500
L49838,L,300.0,309.4,1395,44.5,181,Critical,6,30,90,Corrective,15,1200,No,10935,4.4,5.6,46.5,Critical,2500,8000,25000,5,1500,5000,800
H32073,H,299.8,309.3,1595,32.1,183,Critical,6,29,89,Corrective,15,1900,No,11425,4.6,5.4,53.2,Critical,7000,25000,70000,10,4200,15000,2500
L49840,L,299.8,309.3,1291,56.4,188,Critical,6,26,86,Corrective,15,1200,No,11042,4.4,5.6,43.0,Critical,2500,8000,25000,5,1500,5000,800
M17521,M,299.9,309.4,1509,42.8,190,Critical,6,25,85,Corrective,15,1500,No,11568,4.6,5.4,50.3,Critical,4500,15000,45000,7,2800,9000,1500
M17522,M,299.9,309.4,1483,38.1,193,Critical,6,24,84,Corrective,16,1500,No,11651,4.7,5.3,49.4,Critical,4500,15000,45000,7,2800,9000,1500
L49843,L,299.9,309.3,1620,31.1,196,Critical,6,22,82,Corrective,16,1200,No,12060,4.8,5.2,54.0,Critical,2500,8000,25000,5,1500,5000,800
M17524,M,299.9,309.4,1487,42.2,198,Critical,6,21,81,Corrective,16,1500,No,11884,4.8,5.2,49.6,Critical,4500,15000,45000,7,2800,9000,1500
L49845,L,299.8,309.4,2256,15.9,201,Critical,6,20,80,Corrective,16,1200,No,13557,5.4,4.6,75.2,Critical,2500,8000,25000,5,1500,5000,800
H32080,H,299.7,309.2,1691,27.7,203,Critical,6,19,79,Corrective,16,1900,No,12517,5.0,5.0,56.4,Critical,7000,25000,70000,10,4200,15000,2500
M17527,M,299.8,309.3,1663,35.2,208,Critical,6,16,76,Corrective,17,1500,No,12686,5.1,4.9,55.4,Critical,4500,15000,45000,7,2800,9000,1500
M17528,M,299.8,309.3,1640,31.1,211,Critical,7,15,75,Corrective,17,1650,No,12775,5.1,4.9,54.7,Critical,4500,15000,45000,7,2800,9000,1500
H32083,H,299.7,309.3,1494,37.8,214,Critical,7,13,73,Corrective,17,2050,No,12618,5.0,5.0,49.8,Critical,7000,25000,70000,10,4200,15000,2500
L49850,L,299.8,309.4,1467,46.2,219,Critical,7,11,71,Corrective,18,1350,No,12789,5.1,4.9,48.9,Critical,2500,8000,25000,5,1500,5000,800
M17531,M,299.7,309.3,1399,41.9,221,Critical,9,10,70,Emergency,42,1950,Yes,12743,5.1,4.9,46.6,Critical,4500,15000,45000,7,2800,9000,1500
L49852,L,299.7,309.3,1445,42.6,0,Healthy,1,120,180,Preventive,0,450,No,2890,1.2,8.8,48.2,Stable,2500,8000,25000,5,1500,5000,800
L49853,L,299.8,309.4,1480,40.9,2,Healthy,1,119,179,Preventive,0,450,No,3050,1.2,8.8,49.3,Stable,2500,8000,25000,5,1500,5000,800
L49854,L,299.7,309.3,1546,37.2,4,Healthy,1,118,178,Preventive,0,450,No,3272,1.3,8.7,51.5,Stable,2500,8000,25000,5,1500,5000,800
L49855,L,299.7,309.3,1574,35.8,6,Healthy,1,117,177,Preventive,0,450,No,3418,1.4,8.6,52.5,Stable,2500,8000,25000,5,1500,5000,800
L49856,L,299.7,309.3,1592,34.2,8,Healthy,1,116,176,Preventive,0,450,No,3544,1.4,8.6,53.1,Stable,2500,8000,25000,5,1500,5000,800
L49857,L,299.8,309.5,1495,39.6,10,Healthy,1,115,175,Preventive,0,450,No,3440,1.4,8.6,49.8,Stable,2500,8000,25000,5,1500,5000,800
L49858,L,299.8,309.6,1447,43.1,12,Healthy,1,114,174,Preventive,1,450,No,3434,1.4,8.6,48.2,Stable,2500,8000,25000,5,1500,5000,800
L49859,L,299.8,309.5,1476,44.4,14,Healthy,1,113,173,Preventive,1,450,No,3582,1.4,8.6,49.2,Stable,2500,8000,25000,5,1500,5000,800
L49860,L,299.8,309.5,1641,27.1,16,Healthy,1,112,172,Preventive,1,450,No,4002,1.6,8.4,54.7,Stable,2500,8000,25000,5,1500,5000,800
L49861,L,299.8,309.5,1545,32.2,18,Healthy,1,111,171,Preventive,1,450,No,3900,1.6,8.4,51.5,Stable,2500,8000,25000,5,1500,5000,800
M17542,M,299.9,309.6,1364,44.4,20,Healthy,1,110,170,Preventive,1,750,No,3628,1.5,8.5,45.5,Stable,4500,15000,45000,7,2800,9000,1500
L49863,L,299.8,309.5,1590,28.5,23,Healthy,1,109,169,Preventive,1,450,No,4215,1.7,8.3,53.0,Stable,2500,8000,25000,5,1500,5000,800
L49864,L,299.8,309.4,1460,37.4,25,Healthy,1,108,168,Preventive,2,450,No,4045,1.6,8.4,48.7,Stable,2500,8000,25000,5,1500,5000,800
L49865,L,299.8,309.4,1609,32.5,27,Healthy,1,107,167,Preventive,2,450,No,4433,1.8,8.2,53.6,Stable,2500,8000,25000,5,1500,5000,800
L49866,L,299.8,309.4,1633,27.5,29,Healthy,1,106,166,Preventive,2,450,No,4571,1.8,8.2,54.4,Stable,2500,8000,25000,5,1500,5000,800
L49867,L,299.9,309.4,1348,52.8,31,Healthy,1,105,165,Preventive,2,450,No,4091,1.6,8.4,44.9,Stable,2500,8000,25000,5,1500,5000,800
L49868,L,299.9,309.4,1322,53.9,33,Healthy,1,104,164,Preventive,2,450,No,4129,1.7,8.3,44.1,Stable,2500,8000,25000,5,1500,5000,800
L49869,L,300.0,309.5,1641,30.1,35,Healthy,2,103,163,Preventive,2,600,No,4857,1.9,8.1,54.7,Stable,2500,8000,25000,5,1500,5000,800
L49870,L,300.0,309.5,1728,26.0,37,Healthy,2,102,162,Preventive,3,600,No,5121,2.0,8.0,57.6,Stable,2500,8000,25000,5,1500,5000,800
L49871,L,300.0,309.6,1431,47.7,39,Healthy,2,101,161,Preventive,3,600,No,4617,1.8,8.2,47.7,Stable,2500,8000,25000,5,1500,5000,800
L49872,L,300.1,309.7,1641,30.4,41,Healthy,2,100,160,Preventive,3,600,No,5127,2.1,7.9,54.7,Stable,2500,8000,25000,5,1500,5000,800
M17553,M,300.1,309.6,1622,36.1,43,Healthy,2,99,159,Preventive,3,900,No,5179,2.1,7.9,54.1,Stable,4500,15000,45000,7,2800,9000,1500
M17554,M,300.1,309.6,1625,38.0,46,Healthy,2,97,157,Preventive,3,900,No,5320,2.1,7.9,54.2,Stable,4500,15000,45000,7,2800,9000,1500
L49875,L,300.0,309.5,1869,22.7,49,Healthy,2,96,156,Preventive,4,600,No,5943,2.4,7.6,62.3,Stable,2500,8000,25000,5,1500,5000,800
L49876,L,300.0,309.6,1452,46.0,51,Healthy,2,95,155,Preventive,4,600,No,5199,2.1,7.9,48.4,Stable,2500,8000,25000,5,1500,5000,800
L49877,L,300.0,309.6,1618,28.7,53,Healthy,2,94,154,Preventive,4,600,No,5621,2.2,7.8,53.9,Stable,2500,8000,25000,5,1500,5000,800
L49878,L,300.0,309.4,2010,20.0,55,Healthy,2,93,153,Preventive,4,600,No,6495,2.6,7.4,67.0,Stable,2500,8000,25000,5,1500,5000,800
L49879,L,299.9,309.4,1363,60.9,57,Healthy,2,92,152,Preventive,4,600,No,5291,2.1,7.9,45.4,Stable,2500,8000,25000,5,1500,5000,800
L49880,L,299.9,309.3,1473,40.4,59,Healthy,2,91,151,Preventive,4,600,No,5601,2.2,7.8,49.1,Stable,2500,8000,25000,5,1500,5000,800
L49881,L,299.9,309.2,1333,50.8,61,Healthy,2,90,150,Preventive,5,600,No,5411,2.2,7.8,44.4,Stable,2500,8000,25000,5,1500,5000,800
L49882,L,299.8,309.2,1760,25.9,63,Healthy,2,89,149,Preventive,5,600,No,6355,2.5,7.5,58.7,Stable,2500,8000,25000,5,1500,5000,800
M17563,M,299.8,309.2,1372,58.2,65,Healthy,2,88,148,Preventive,5,900,No,5669,2.3,7.7,45.7,Stable,4500,15000,45000,7,2800,9000,1500
