machine_id,operating_hours,estimated_age_years,remaining_useful_life_years,utilization_percent,health_trend
L49291,6247,2.5,7.5,47.9,Stable
L49292,7169,2.9,7.1,61.7,Stable
L49293,7281,2.9,7.1,62.1,Stable
H31528,6391,2.6,7.4,45.8,Declining
L49295,6678,2.7,7.3,46.8,Declining
M16976,6722,2.7,7.3,46.0,Declining
H31531,7619,3.0,7.0,58.7,Declining
H31532,7178,2.9,7.1,47.6,Declining
M16979,8261,3.3,6.7,61.9,Declining
H31534,8496,3.4,6.6,63.6,Declining
M16981,7911,3.2,6.8,50.1,Declining
M16982,8086,3.2,6.8,50.8,Declining
L49303,8157,3.3,6.7,49.7,Declining
L49304,8125,3.2,6.8,47.7,Declining
L49305,7871,3.1,6.9,41.9,Critical
L49306,8343,3.3,6.7,48.3,Declining
H31541,8385,3.4,6.6,47.5,Declining
L49308,9360,3.7,6.3,60.0,Declining
H31543,9064,3.6,6.4,53.6,Declining
L49310,8857,3.5,6.5,46.4,Declining
L49311,9029,3.6,6.4,47.7,Declining
L49312,9575,3.8,6.2,55.3,Declining
H31547,9809,3.9,6.1,57.7,Declining
L49314,9516,3.8,6.2,49.1,Declining
L49315,9682,3.9,6.1,50.4,Declining
L49316,9926,4.0,6.0,52.9,Declining
L49317,10086,4.0,6.0,54.1,Declining
L49318,10398,4.2,5.8,57.8,Declining
L49319,9850,3.9,6.1,47.2,Declining
L49320,9948,4.0,6.0,47.3,Declining
M17001,10354,4.1,5.9,52.6,Declining
L49322,10087,4.0,6.0,45.9,Declining
M17003,10309,4.1,5.9,48.1,Declining
L49324,10462,4.2,5.8,48.4,Declining
L49325,10750,4.3,5.7,51.7,Declining
L49326,11034,4.4,5.6,54.9,Declining
L49327,10930,4.4,5.6,51.7,Declining
L49328,11086,4.4,5.6,52.8,Declining
L49329,11236,4.5,5.5,53.8,Declining
H31564,11372,4.5,5.5,54.5,Critical
M17011,10903,4.4,5.6,43.0,Critical
M17012,11756,4.7,5.3,54.9,Critical
H31567,11389,4.6,5.4,46.6,Critical
M17014,12354,4.9,5.1,58.9,Critical
L49335,11637,4.7,5.3,44.7,Critical
M17016,11959,4.8,5.2,48.6,Critical
M17017,13058,5.2,4.8,64.6,Critical
M17018,12113,4.8,5.2,46.6,Critical
M17019,12654,5.1,4.9,53.4,Critical
L49340,12599,5.0,5.0,50.2,Critical
L49341,12603,5.0,5.0,48.8,Critical
L49342,12437,5.0,5.0,44.5,Critical
L49343,12699,5.1,4.9,47.4,Critical
L49344,13025,5.2,4.8,51.3,Critical
L49345,12987,5.2,4.8,49.2,Critical
M17026,13859,5.5,4.5,62.2,Critical
H31581,3176,1.3,8.7,52.9,Stable
M17028,3065,1.2,8.8,47.3,Stable
L49349,3190,1.3,8.7,47.2,Stable
M17030,3450,1.4,8.6,50.0,Stable
L49351,3589,1.4,8.6,50.1,Stable
L49352,4307,1.7,8.3,60.5,Stable
M17033,3755,1.5,8.5,49.8,Stable
L49354,4044,1.6,8.4,52.4,Stable
M17035,4170,1.7,8.3,53.0,Stable
M17036,3899,1.6,8.4,46.2,Stable
M17037,4046,1.6,8.4,46.4,Stable
L49358,4599,1.8,8.2,53.4,Stable
L49359,4687,1.9,8.1,53.4,Stable
H31594,4769,1.9,8.1,53.2,Stable
H31595,4896,2.0,8.0,51.6,Stable
M17042,4653,1.9,8.1,43.8,Stable
M17043,5314,2.1,7.9,52.6,Stable
L49364,5245,2.1,7.9,49.2,Stable
L49365,5645,2.3,7.7,54.3,Stable
L49366,5365,2.1,7.9,48.2,Stable
M17047,5443,2.2,7.8,48.0,Stable
L49368,5540,2.2,7.8,47.3,Stable
H31603,5898,2.4,7.6,51.8,Stable
M17050,5957,2.4,7.6,49.0,Stable
L49371,6446,2.6,7.4,54.9,Stable
L49372,6184,2.5,7.5,49.1,Stable
M17053,6226,2.5,7.5,48.3,Stable
M17054,6601,2.6,7.4,52.3,Stable
L49375,6826,2.7,7.3,53.8,Declining
M17056,6792,2.7,7.3,51.7,Declining
L49377,6649,2.7,7.3,47.1,Declining
M17058,6871,2.7,7.3,49.3,Declining
M17059,6586,2.6,7.4,42.3,Declining
L49380,7277,2.9,7.1,51.5,Declining
L49381,7409,3.0,7.0,52.2,Declining
M17062,7461,3.0,7.0,51.6,Declining
L49383,7728,3.1,6.9,53.8,Declining
M17064,7294,2.9,7.1,45.1,Declining
L49385,7973,3.2,6.8,54.1,Declining
L49386,7687,3.1,6.9,47.9,Declining
L49387,8087,3.2,6.8,53.0,Declining
H31622,7865,3.1,6.9,47.8,Declining
L49389,7992,3.2,6.8,46.2,Declining
L49390,8112,3.2,6.8,46.7,Declining
M17071,7890,3.2,6.8,41.5,Declining
L49392,8485,3.4,6.6,49.2,Declining
L49393,8571,3.4,6.6,49.1,Declining
H31628,8425,3.4,6.6,45.2,Declining
H31629,8876,3.6,6.4,48.9,Declining
L49396,9455,3.8,6.2,54.8,Declining
L49397,8949,3.6,6.4,44.9,Declining
L49398,9771,3.9,6.1,57.1,Declining
M17079,9305,3.7,6.3,47.8,Declining
M17080,10042,4.0,6.0,57.9,Declining
L49401,9449,3.8,6.2,45.7,Declining
L49402,10005,4.0,6.0,53.5,Declining
L49403,9711,3.9,6.1,47.1,Declining
M17084,10265,4.1,5.9,54.8,Declining
M17085,10040,4.0,6.0,48.8,Declining
M17086,10615,4.2,5.8,56.2,Declining
L49407,11310,4.5,5.5,65.5,Declining
H31642,10554,4.2,5.8,51.4,Declining
L49409,11057,4.4,5.6,56.0,Declining
L49410,10677,4.3,5.7,48.2,Declining
L49411,10705,4.3,5.7,47.2,Declining
L49412,11309,4.5,5.5,55.7,Declining
L49413,13153,5.3,4.7,85.0,Critical
L49414,11129,4.5,5.5,49.7,Critical
M17095,11145,4.5,5.5,48.5,Critical
M17096,11214,4.5,5.5,47.4,Critical
L49417,11311,4.5,5.5,46.8,Critical
L49418,11543,4.6,5.4,49.1,Critical
L49419,11447,4.6,5.4,46.0,Critical
L49420,11689,4.7,5.3,48.6,Critical
L49421,12287,4.9,5.1,57.0,Critical
L49422,12289,4.9,5.1,55.6,Critical
L49423,11975,4.8,5.2,48.8,Critical
M17104,12219,4.9,5.1,51.4,Critical
M17105,2876,1.2,8.8,47.9,Stable
L49426,2947,1.2,8.8,46.9,Stable
M17107,3017,1.2,8.8,46.5,Stable
M17108,2968,1.2,8.8,43.5,Stable
L49429,3379,1.4,8.6,48.1,Stable
M17110,3377,1.4,8.6,46.5,Stable
H31665,3568,1.4,8.6,47.5,Stable
H31666,3847,1.5,8.5,48.4,Stable
L49433,3942,1.6,8.4,46.2,Stable
L49434,3910,1.6,8.4,44.2,Stable
L49435,4468,1.8,8.2,52.0,Stable
L49436,4418,1.8,8.2,49.6,Stable
L49437,5314,2.1,7.9,63.1,Stable
L49438,4258,1.7,8.3,44.0,Stable
L49439,4572,1.8,8.2,47.7,Stable
H31674,4842,1.9,8.1,50.7,Stable
M17121,4895,2.0,8.0,47.8,Stable
L49442,5226,2.1,7.9,51.1,Stable
M17123,5308,2.1,7.9,51.0,Stable
M17124,5215,2.1,7.9,47.2,Stable
M17125,5180,2.1,7.9,44.3,Stable
L49446,5417,2.2,7.8,46.0,Stable
L49447,5485,2.2,7.8,45.7,Stable
L49448,5711,2.3,7.7,47.9,Stable
L49449,5553,2.2,7.8,43.8,Stable
L49450,5889,2.4,7.6,47.9,Stable
L49451,6747,2.7,7.3,60.7,Stable
M17132,6091,2.4,7.6,48.3,Stable
L49453,6508,2.6,7.4,53.0,Stable
L49454,6460,2.6,7.4,50.7,Stable
L49455,6720,2.7,7.3,53.5,Stable
L49456,6386,2.6,7.4,46.4,Declining
H31691,6506,2.6,7.4,46.9,Declining
M17138,6833,2.7,7.3,48.6,Declining
L49459,7100,2.8,7.2,50.8,Declining
L49460,6920,2.8,7.2,46.3,Declining
L49461,7302,2.9,7.1,51.2,Declining
L49462,7238,2.9,7.1,48.6,Declining
L49463,7184,2.9,7.1,46.2,Declining
L49464,7256,2.9,7.1,45.9,Declining
L49465,7352,2.9,7.1,46.0,Declining
M17146,7258,2.9,7.1,43.0,Declining
L49467,8307,3.3,6.7,58.2,Declining
M17148,7987,3.2,6.8,51.4,Declining
L49469,8048,3.2,6.8,50.1,Declining
M17150,7772,3.1,6.9,44.0,Declining
M17151,9037,3.6,6.4,62.9,Declining
L49472,8244,3.3,6.7,47.4,Declining
L49473,8530,3.4,6.6,50.7,Declining
L49474,8834,3.5,6.5,54.2,Declining
L49475,8694,3.5,6.5,50.4,Declining
L49476,8866,3.5,6.5,51.8,Declining
L49477,9454,3.8,6.2,60.1,Declining
L49478,8904,3.6,6.4,49.4,Declining
L49479,8922,3.6,6.4,48.2,Critical
L49480,8862,3.5,6.5,45.7,Declining
M17161,9382,3.8,6.2,52.9,Declining
L49482,9375,3.8,6.2,50.5,Declining
L49483,9183,3.7,6.3,45.8,Declining
L49484,9435,3.8,6.2,48.5,Declining
H31719,9299,3.7,6.3,44.7,Declining
L49486,9360,3.7,6.3,42.0,Declining
H31721,10176,4.1,5.9,54.1,Declining
L49488,9897,4.0,6.0,45.7,Declining
L49489,10467,4.2,5.8,53.7,Declining
M17170,10405,4.2,5.8,51.2,Declining
M17171,10452,4.2,5.8,49.7,Declining
M17172,10487,4.2,5.8,48.0,Declining
M17173,11190,4.5,5.5,57.5,Declining
L49494,10611,4.2,5.8,45.6,Declining
L49495,11017,4.4,5.6,50.9,Declining
L49496,11139,4.5,5.5,51.4,Declining
L49497,11355,4.5,5.5,53.5,Critical
L49498,11045,4.4,5.6,46.8,Critical
M17179,11725,4.7,5.3,56.7,Critical
H31734,11340,4.5,5.5,48.0,Critical
M17181,11313,4.5,5.5,43.8,Critical
L49502,11848,4.7,5.3,50.5,Critical
M17183,11712,4.7,5.3,46.7,Critical
L49504,12317,4.9,5.1,54.5,Critical
L49505,12341,4.9,5.1,53.4,Critical
M17186,12199,4.9,5.1,49.6,Critical
M17187,12200,4.9,5.1,47.3,Critical
L49508,12653,5.1,4.9,52.6,Critical
L49509,12553,5.0,5.0,49.5,Critical
M17190,12455,5.0,5.0,46.3,Critical
L49511,12578,5.0,5.0,46.1,Critical
L49512,12656,5.1,4.9,45.9,Critical
L49513,12880,5.2,4.8,48.2,Critical
L49514,12970,5.2,4.8,48.2,Critical
L49515,3018,1.2,8.8,50.3,Stable
L49516,2958,1.2,8.8,47.8,Stable
L49517,3934,1.6,8.4,62.6,Stable
L49518,3572,1.4,8.6,55.0,Stable
L49519,3292,1.3,8.7,48.9,Stable
L49520,3408,1.4,8.6,49.3,Stable
L49521,3358,1.3,8.7,47.0,Stable
M17202,3978,1.6,8.4,55.8,Stable
L49523,3375,1.4,8.6,43.5,Stable
M17204,4365,1.7,8.3,58.5,Stable
L49525,3940,1.6,8.4,49.2,Stable
L49526,3884,1.6,8.4,46.7,Stable
L49527,3990,1.6,8.4,47.0,Stable
L49528,4132,1.7,8.3,47.9,Stable
M17209,4122,1.6,8.4,46.2,Stable
L49530,4973,2.0,8.0,58.1,Stable
L49531,4361,1.7,8.3,46.4,Stable
M17212,4509,1.8,8.2,47.4,Stable
L49533,5482,2.2,7.8,61.4,Stable
L49534,4756,1.9,8.1,47.8,Stable
M17215,4590,1.8,8.2,43.5,Stable
H31770,5111,2.0,8.0,49.9,Stable
L49537,5884,2.4,7.6,59.1,Stable
M17218,5192,2.1,7.9,46.0,Stable
L49539,5391,2.2,7.8,47.1,Stable
H31774,5431,2.2,7.8,46.3,Stable
M17221,6142,2.5,7.5,54.4,Stable
H31776,6055,2.4,7.6,50.7,Stable
L49543,6260,2.5,7.5,50.3,Stable
L49544,6062,2.4,7.6,45.5,Stable
L49545,7110,2.8,7.2,61.5,Stable
L49546,6480,2.6,7.4,49.5,Stable
M17227,6592,2.6,7.4,49.9,Declining
M17228,6671,2.7,7.3,48.9,Declining
M17229,7582,3.0,7.0,61.9,Declining
L49550,7245,2.9,7.1,54.0,Declining
L49551,6913,2.8,7.2,47.0,Declining
M17232,6993,2.8,7.2,46.8,Declining
L49553,7020,2.8,7.2,45.0,Declining
M17234,7486,3.0,7.0,51.3,Declining
M17235,7497,3.0,7.0,49.2,Declining
M17236,7408,3.0,7.0,45.5,Declining
M17237,7979,3.2,6.8,52.7,Declining
L49558,7646,3.1,6.9,44.9,Declining
H31793,7940,3.2,6.8,48.3,Declining
L49560,7749,3.1,6.9,41.4,Declining
L49561,8341,3.3,6.7,49.8,Declining
L49562,8647,3.5,6.5,53.4,Declining
L49563,8671,3.5,6.5,52.3,Declining
M17244,8637,3.5,6.5,50.2,Declining
L49565,8808,3.5,6.5,50.8,Declining
L49566,8936,3.6,6.4,51.4,Declining
M17247,8888,3.6,6.4,49.1,Declining
M17248,9127,3.7,6.3,50.9,Declining
L49569,9944,4.0,6.0,62.2,Declining
L49570,9274,3.7,6.3,49.6,Declining
L49571,9550,3.8,6.2,52.7,Declining
L49572,9160,3.7,6.3,44.7,Declining
L49573,9658,3.9,6.1,51.5,Declining
L49574,9636,3.9,6.1,49.6,Declining
M17255,10234,4.1,5.9,58.1,Declining
M17256,10069,4.0,6.0,53.1,Declining
L49577,10184,4.1,5.9,52.7,Declining
L49578,10090,4.0,6.0,49.7,Declining
M17259,10388,4.2,5.8,53.1,Declining
H31814,10259,4.1,5.9,48.7,Declining
M17261,10294,4.1,5.9,45.6,Declining
L49582,10345,4.1,5.9,44.2,Declining
H31817,10681,4.3,5.7,48.3,Declining
M17264,12026,4.8,5.2,66.9,Declining
L49585,11141,4.5,5.5,49.9,Critical
L49586,11109,4.4,5.6,47.9,Critical
M17267,11323,4.5,5.5,50.0,Critical
L49588,11172,4.5,5.5,45.2,Critical
L49589,11628,4.7,5.3,51.3,Critical
L49590,12018,4.8,5.2,56.3,Critical
L49591,11848,4.7,5.3,52.0,Critical
L49592,11636,4.7,5.3,46.9,Critical
L49593,12682,5.1,4.9,62.9,Critical
L49594,2830,1.1,8.9,47.2,Stable
M17275,3264,1.3,8.7,52.9,Stable
L49596,3367,1.3,8.7,52.4,Stable
L49597,3467,1.4,8.6,52.5,Stable
L49598,3725,1.5,8.5,55.3,Stable
M17279,3151,1.3,8.7,44.3,Stable
H31834,3530,1.4,8.6,48.3,Stable
L49601,5623,2.2,7.8,79.5,Stable
L49602,3831,1.5,8.5,48.1,Stable
M17283,5079,2.0,8.0,67.4,Stable
L49604,4826,1.9,8.1,60.9,Stable
L49605,4204,1.7,8.3,49.1,Stable
M17286,4094,1.6,8.4,45.7,Critical
L49607,5195,2.1,7.9,61.8,Stable
M17288,4329,1.7,8.3,45.9,Stable
L49609,4574,1.8,8.2,47.7,Stable
M17290,4470,1.8,8.2,44.5,Stable
M17291,4757,1.9,8.1,47.0,Stable
L49612,5090,2.0,8.0,50.3,Stable
L49613,5042,2.0,8.0,48.0,Stable
M17294,4966,2.0,8.0,45.3,Stable
L49615,5757,2.3,7.7,56.2,Stable
H31850,5799,2.3,7.7,55.4,Stable
L49617,5552,2.2,7.8,47.5,Stable
M17298,5450,2.2,7.8,44.3,Stable
L49619,6311,2.5,7.5,56.4,Stable
L49620,5867,2.3,7.7,47.5,Stable
L49621,6457,2.6,7.4,55.9,Stable
M17302,5859,2.3,7.7,44.4,Stable
L49623,6624,2.6,7.4,54.9,Stable
L49624,5954,2.4,7.6,42.2,Critical
H31859,6260,2.5,7.5,45.8,Stable
L49626,6579,2.6,7.4,47.4,Declining
L49627,6641,2.7,7.3,46.9,Declining
L49628,6795,2.7,7.3,48.0,Declining
L49629,7549,3.0,7.0,59.1,Declining
L49630,7079,2.8,7.2,49.7,Declining
L49631,7485,3.0,7.0,55.0,Declining
M17312,8933,3.6,6.4,77.6,Declining
L49633,7706,3.1,6.9,54.9,Declining
L49634,7806,3.1,6.9,55.1,Declining
L49635,8482,3.4,6.6,64.9,Declining
L49636,7790,3.1,6.9,51.8,Declining
L49637,8092,3.2,6.8,55.4,Declining
L49638,7728,3.1,6.9,47.8,Declining
L49639,7544,3.0,7.0,43.2,Declining
L49640,7972,3.2,6.8,48.9,Declining
M17321,8164,3.3,6.7,50.6,Declining
L49642,8749,3.5,6.5,58.1,Declining
L49643,8515,3.4,6.6,52.7,Declining
M17324,8513,3.4,6.6,51.1,Declining
L49645,8542,3.4,6.6,49.4,Declining
L49646,8528,3.4,6.6,47.6,Declining
M17327,8908,3.6,6.4,52.5,Declining
M17328,8943,3.6,6.4,50.8,Declining
L49649,9044,3.6,6.4,50.2,Declining
L49650,9054,3.6,6.4,48.9,Declining
L49651,8812,3.5,6.5,43.4,Declining
L49652,9158,3.7,6.3,47.6,Declining
M17333,9500,3.8,6.2,51.8,Declining
L49654,9531,3.8,6.2,50.1,Declining
L49655,9533,3.8,6.2,48.6,Declining
H31890,9603,3.8,6.2,48.3,Declining
L49657,9704,3.9,6.1,46.2,Declining
M17338,9932,4.0,6.0,48.5,Declining
L49659,10363,4.1,5.9,53.5,Declining
L49660,10713,4.3,5.7,57.8,Declining
L49661,10091,4.0,6.0,45.9,Declining
L49662,10433,4.2,5.8,50.1,Declining
M17343,10319,4.1,5.9,46.7,Declining
H31898,10698,4.3,5.7,50.8,Declining
L49665,11061,4.4,5.6,53.1,Declining
M17346,11509,4.6,5.4,59.1,Declining
H31901,11346,4.5,5.5,54.1,Critical
L49668,11037,4.4,5.6,45.2,Critical
H31903,11415,4.6,5.4,50.0,Critical
H31904,11772,4.7,5.3,52.2,Critical
L49671,11755,4.7,5.3,48.2,Critical
H31906,11719,4.7,5.3,46.1,Critical
M17353,12016,4.8,5.2,47.3,Critical
L49674,11973,4.8,5.2,44.3,Critical
M17355,12387,5.0,5.0,49.7,Critical
M17356,12686,5.1,4.9,52.4,Critical
M17357,12717,5.1,4.9,50.7,Critical
L49678,12744,5.1,4.9,48.9,Critical
M17359,12550,5.0,5.0,44.2,Critical
L49680,13269,5.3,4.7,53.9,Critical
M17361,13077,5.2,4.8,49.2,Critical
L49682,13290,5.3,4.7,50.5,Critical
L49683,2816,1.1,8.9,46.9,Stable
L49684,3026,1.2,8.8,48.9,Stable
L49685,2954,1.2,8.8,46.2,Stable
M17366,3276,1.3,8.7,50.1,Stable
H31921,3225,1.3,8.7,47.0,Stable
L49688,3860,1.5,8.5,53.8,Stable
L49689,3742,1.5,8.5,50.4,Stable
L49690,3620,1.4,8.6,46.8,Stable
M17371,3952,1.6,8.4,50.9,Stable
L49692,4095,1.6,8.4,51.0,Stable
L49693,4291,1.7,8.3,52.8,Stable
L49694,5353,2.1,7.9,69.0,Stable
L49695,4285,1.7,8.3,49.7,Stable
L49696,4867,1.9,8.1,57.9,Stable
L49697,4275,1.7,8.3,46.5,Stable
M17378,4425,1.8,8.2,47.5,Stable
L49699,4972,2.0,8.0,54.4,Stable
L49700,4870,1.9,8.1,51.2,Stable
L49701,5058,2.0,8.0,52.8,Stable
M17382,5066,2.0,8.0,51.4,Stable
L49703,5385,2.2,7.8,54.5,Stable
M17384,5097,2.0,8.0,48.2,Stable
M17385,5536,2.2,7.8,53.3,Stable
L49706,5477,2.2,7.8,50.0,Stable
L49707,5465,2.2,7.8,48.3,Stable
L49708,6115,2.4,7.6,57.7,Stable
M17389,5887,2.4,7.6,52.4,Stable
L49710,5756,2.3,7.7,47.9,Stable
M17391,5990,2.4,7.6,50.3,Stable
L49712,5883,2.4,7.6,46.3,Stable
L49713,6175,2.5,7.5,49.7,Stable
L49714,6743,2.7,7.3,57.6,Stable
L49715,6365,2.5,7.5,49.8,Stable
L49716,6027,2.4,7.6,42.7,Stable
H31951,6261,2.5,7.5,45.1,Stable
L49718,6638,2.7,7.3,47.6,Declining
L49719,6696,2.7,7.3,47.1,Declining
L49720,6964,2.8,7.2,50.1,Declining
H31955,7156,2.9,7.1,51.8,Declining
H31956,7699,3.1,6.9,57.1,Declining
L49723,8072,3.2,6.8,59.5,Declining
L49724,8492,3.4,6.6,65.0,Declining
M17405,7762,3.1,6.9,51.4,Declining
L49726,8025,3.2,6.8,53.5,Declining
L49727,8061,3.2,6.8,52.6,Declining
M17408,7875,3.2,6.8,48.0,Declining
L49729,8108,3.2,6.8,49.6,Declining
L49730,7952,3.2,6.8,45.5,Declining
L49731,8392,3.4,6.6,51.4,Declining
H31966,8504,3.4,6.6,51.7,Declining
L49733,8571,3.4,6.6,49.1,Declining
L49734,8777,3.5,6.5,51.0,Declining
L49735,8827,3.5,6.5,50.4,Declining
M17416,8793,3.5,6.5,48.3,Declining
M17417,8910,3.6,6.4,48.0,Declining
M17418,9927,4.0,6.0,62.7,Declining
L49739,9194,3.7,6.3,48.2,Declining
M17420,9042,3.6,6.4,44.2,Declining
L49741,9739,3.9,6.1,53.6,Declining
L49742,9717,3.9,6.1,51.7,Declining
L49743,9697,3.9,6.1,49.9,Declining
L49744,9781,3.9,6.1,49.8,Declining
L49745,9493,3.8,6.2,43.5,Declining
M17426,9815,3.9,6.1,47.3,Declining
L49747,10642,4.3,5.7,58.9,Declining
L49748,10100,4.0,6.0,48.3,Declining
H31983,11034,4.4,5.6,62.4,Declining
L49750,10941,4.4,5.6,57.1,Declining
M17431,10599,4.2,5.8,49.9,Declining
M17432,10444,4.2,5.8,45.1,Declining
L49753,10873,4.3,5.7,50.0,Declining
L49754,11909,4.8,5.2,65.7,Declining
L49755,10899,4.4,5.6,47.4,Declining
L49756,11191,4.5,5.5,50.8,Critical
L49757,11361,4.5,5.5,52.1,Critical
L49758,11107,4.4,5.6,46.4,Critical
L49759,12005,4.8,5.2,59.8,Critical
L49760,11091,4.4,5.6,43.1,Critical
L49761,11285,4.5,5.5,44.8,Critical
L49762,11915,4.8,5.2,53.8,Critical
L49763,11459,4.6,5.4,44.7,Critical
L49764,11869,4.7,5.3,50.1,Critical
M17445,12195,4.9,5.1,54.0,Critical
L49766,12164,4.9,5.1,51.2,Critical
L49767,13676,5.5,4.5,74.9,Critical
L49768,12682,5.1,4.9,56.9,Critical
L49769,13860,5.5,4.5,75.0,Critical
L49770,2792,1.1,8.9,46.5,Stable
L49771,3134,1.3,8.7,50.7,Stable
L49772,3258,1.3,8.7,51.3,Stable
H32007,3100,1.2,8.8,47.2,Stable
L49774,3387,1.4,8.6,48.2,Stable
M17455,3557,1.4,8.6,49.5,Stable
L49776,3572,1.4,8.6,47.5,Stable
L49777,3708,1.5,8.5,48.3,Stable
L49778,3540,1.4,8.6,44.0,Critical
M17459,3884,1.6,8.4,48.2,Stable
L49780,3969,1.6,8.4,47.4,Stable
L49781,4013,1.6,8.4,46.6,Stable
L49782,4159,1.7,8.3,47.6,Stable
M17463,4063,1.6,8.4,44.5,Stable
M17464,4300,1.7,8.3,46.2,Stable
L49785,4769,1.9,8.1,51.7,Stable
H32020,4823,1.9,8.1,51.1,Stable
L49787,4876,2.0,8.0,48.3,Stable
L49788,4888,2.0,8.0,47.0,Stable
L49789,5402,2.2,7.8,54.0,Stable
H32024,5344,2.1,7.9,51.6,Stable
L49791,6389,2.6,7.4,65.2,Stable
L49792,7407,3.0,7.0,80.7,Stable
M17473,5797,2.3,7.7,52.4,Stable
L49794,6058,2.4,7.6,54.5,Stable
L49795,5912,2.4,7.6,50.5,Stable
L49796,5384,2.2,7.8,40.2,Stable
L49797,6400,2.6,7.4,55.7,Stable
M17478,6072,2.4,7.6,48.7,Stable
L49799,6423,2.6,7.4,52.3,Stable
L49800,6487,2.6,7.4,51.9,Stable
M17481,6477,2.6,7.4,50.2,Stable
M17482,6884,2.8,7.2,54.7,Declining
M17483,6301,2.5,7.5,42.8,Declining
H32038,6620,2.6,7.4,45.8,Declining
L49805,6893,2.8,7.2,46.6,Declining
L49806,7485,3.0,7.0,55.0,Declining
M17487,6967,2.8,7.2,44.9,Declining
H32042,7230,2.9,7.1,47.0,Declining
L49809,7807,3.1,6.9,52.9,Declining
L49810,7469,3.0,7.0,45.7,Declining
H32045,7873,3.1,6.9,51.0,Declining
M17492,8344,3.3,6.7,55.1,Declining
L49813,8239,3.3,6.7,51.1,Declining
L49814,8373,3.3,6.7,51.8,Declining
H32049,8279,3.3,6.7,48.7,Declining
L49816,8088,3.2,6.8,41.8,Declining
L49817,8258,3.3,6.7,43.1,Declining
L49818,9238,3.7,6.3,58.0,Declining
M17499,8674,3.5,6.5,47.1,Declining
M17500,8729,3.5,6.5,45.7,Declining
H32055,8960,3.6,6.4,47.3,Declining
L49822,9429,3.8,6.2,51.4,Declining
M17503,9237,3.7,6.3,46.7,Declining
L49824,9590,3.8,6.2,50.3,Declining
H32059,9754,3.9,6.1,51.6,Declining
M17506,9791,3.9,6.1,48.4,Declining
L49827,9836,3.9,6.1,46.9,Declining
L49828,9982,4.0,6.0,47.9,Declining
M17509,10364,4.1,5.9,52.7,Declining
L49830,9895,4.0,6.0,42.7,Declining
L49831,11441,4.6,5.4,66.9,Declining
L49832,11059,4.4,5.6,59.1,Declining
L49833,11163,4.5,5.5,59.3,Declining
L49834,10829,4.3,5.7,52.2,Declining
M17515,11287,4.5,5.5,58.4,Declining
L49836,10618,4.2,5.8,45.0,Declining
M17517,10860,4.3,5.7,47.5,Declining
L49838,10935,4.4,5.6,46.5,Critical
H32073,11425,4.6,5.4,53.2,Critical
L49840,11042,4.4,5.6,43.0,Critical
M17521,11568,4.6,5.4,50.3,Critical
M17522,11651,4.7,5.3,49.4,Critical
L49843,12060,4.8,5.2,54.0,Critical
M17524,11884,4.8,5.2,49.6,Critical
L49845,13557,5.4,4.6,75.2,Critical
H32080,12517,5.0,5.0,56.4,Critical
M17527,12686,5.1,4.9,55.4,Critical
M17528,12775,5.1,4.9,54.7,Critical
H32083,12618,5.0,5.0,49.8,Critical
L49850,12789,5.1,4.9,48.9,Critical
M17531,12743,5.1,4.9,46.6,Critical
L49852,2890,1.2,8.8,48.2,Stable
L49853,3050,1.2,8.8,49.3,Stable
L49854,3272,1.3,8.7,51.5,Stable
L49855,3418,1.4,8.6,52.5,Stable
L49856,3544,1.4,8.6,53.1,Stable
L49857,3440,1.4,8.6,49.8,Stable
L49858,3434,1.4,8.6,48.2,Stable
L49859,3582,1.4,8.6,49.2,Stable
L49860,4002,1.6,8.4,54.7,Stable
L49861,3900,1.6,8.4,51.5,Stable
M17542,3628,1.5,8.5,45.5,Stable
L49863,4215,1.7,8.3,53.0,Stable
L49864,4045,1.6,8.4,48.7,Stable
L49865,4433,1.8,8.2,53.6,Stable
L49866,4571,1.8,8.2,54.4,Stable
L49867,4091,1.6,8.4,44.9,Stable
L49868,4129,1.7,8.3,44.1,Stable
L49869,4857,1.9,8.1,54.7,Stable
L49870,5121,2.0,8.0,57.6,Stable
L49871,4617,1.8,8.2,47.7,Stable
L49872,5127,2.1,7.9,54.7,Stable
M17553,5179,2.1,7.9,54.1,Stable
M17554,5320,2.1,7.9,54.2,Stable
L49875,5943,2.4,7.6,62.3,Stable
L49876,5199,2.1,7.9,48.4,Stable
L49877,5621,2.2,7.8,53.9,Stable
L49878,6495,2.6,7.4,67.0,Stable
L49879,5291,2.1,7.9,45.4,Stable
L49880,5601,2.2,7.8,49.1,Stable
L49881,5411,2.2,7.8,44.4,Stable
L49882,6355,2.5,7.5,58.7,Stable
M17563,5669,2.3,7.7,45.7,Stable
M17564,6276,2.5,7.5,53.6,Stable
L49885,5847,2.3,7.7,44.2,Stable
M17566,6405,2.6,7.4,52.0,Stable
M17567,6498,2.6,7.4,51.3,Stable
L49888,8087,3.2,6.8,75.5,Stable
L49889,6927,2.8,7.2,54.7,Declining
L49890,6883,2.8,7.2,52.5,Declining
L49891,6639,2.7,7.3,46.9,Declining
H32126,6519,2.6,7.4,43.4,Declining
M17573,7442,3.0,7.0,55.0,Declining
M17574,7007,2.8,7.2,45.5,Declining
M17575,7812,3.1,6.9,56.7,Declining
L49896,7541,3.0,7.0,49.9,Declining
